pergunta,a,b,c,d,correta
Qual é a capital do Brasil?,São Paulo,Brasília,Rio de Janeiro,Belo Horizonte,B
Quanto é 2 + 2?,3,4,5,6,B
Python é uma linguagem?,Compilada,Interpretada,Montada,Nenhuma,B
Qual planeta é conhecido como planeta vermelho?,Terra,Marte,Saturno,Júpiter,B
Qual a cor da mistura azul + amarelo?,Roxo,Verde,Laranja,Preto,B
Qual é o maior oceano do mundo?,Atlântico,Pacífico,Índico,Ártico,B
Em que ano o homem pisou na Lua?,1967,1969,1971,1975,B
Quem escreveu Dom Casmurro?,Aluísio Azevedo,José de Alencar,Monteiro Lobato,Machado de Assis,D
Qual desses é um framework web em Python?,Spring,Django,Angular,Laravel,B
Quantos segundos há em 1 minuto?,30,60,90,120,B
Qual a função principal do sistema operacional?,Imprimir,Compilar,Gerenciar recursos,Apagar arquivos,C
Quantos lados tem um hexágono?,5,6,7,8,B
Qual país tem formato aproximado de uma bota?,Espanha,Itália,Grécia,Portugal,B
Qual o menor número primo?,0,1,2,3,C
Quem pintou a Mona Lisa?,Van Gogh,Picasso,Michelangelo,Leonardo da Vinci,D
Qual é a capital da França?,Londres,Berlim,Paris,Madrid,C
Qual é o maior mamífero do mundo?,Elefante,Orca,Baleia Azul,Leão,C
Qual é a moeda do Japão?,Dólar,Euro,Yen,Libra,C
Qual é o símbolo químico do ouro?,Au,Ag,Fe,Hg,A
Qual é a capital do Brasil?,São Paulo,Brasília,Rio de Janeiro,Belo Horizonte,B
Quanto é 2 + 2?,3,4,5,6,B
Python é uma linguagem?,Compilada,Interpretada,Montada,Nenhuma,B
Qual planeta é conhecido como planeta vermelho?,Terra,Marte,Saturno,Júpiter,B
Qual a cor da mistura azul + amarelo?,Roxo,Verde,Laranja,Preto,B
Qual é o maior oceano do mundo?,Atlântico,Pacífico,Índico,Ártico,B
Em que ano o homem pisou na Lua?,1967,1969,1971,1975,B
Quem escreveu Dom Casmurro?,Aluísio Azevedo,José de Alencar,Monteiro Lobato,Machado de Assis,D
Qual desses é um framework web em Python?,Spring,Django,Angular,Laravel,B
Quantos segundos há em 1 minuto?,30,60,90,120,B
Qual a função principal do sistema operacional?,Imprimir,Compilar,Gerenciar recursos,Apagar arquivos,C
Quantos lados tem um hexágono?,5,6,7,8,B
Qual país tem formato aproximado de uma bota?,Espanha,Itália,Grécia,Portugal,B
Qual o menor número primo?,0,1,2,3,C
Quem pintou a Mona Lisa?,Van Gogh,Picasso,Michelangelo,Leonardo da Vinci,D